,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
0,0,0,FabHotel Phoenix,4650,2279, 273 ,Deluxe Room,1 large double bed,7.3,Good ,70,Only 6 rooms left ,Free cancellation
1,1,1,Novotel Bengaluru Outer Ring Road,0,8075, 1454 ,"Deluxe King or Twin Room with 20% Discount on Food, Soft Beverages, Spa", 1 double or 2 singles,7.6,Good ,459,Only 7 rooms left ,FREE cancellation • No prepayment needed
2,2,2,Townhouse OAK M & M Hospitality,1112,556, 30 ,Classic Triple Room,1 extra-large double bed,5.3,Plesant ,9,No Rooms left,FREE cancellation • No prepayment needed
3,3,3,Benaka Suites,0,2999, 360 ,One BHK with Kitchen,"2 beds (1 extra-large double, 1 bunk bed)",8.1,Very good ,68,Only 2 rooms left ,FREE cancellation • No prepayment needed
4,4,4,Vistar Resort & Hotels,0,2549, 306 ,Standard Double Room with Fan,1 extra-large double bed,8.4,Very good ,28,Only 5 rooms left ,FREE cancellation • No prepayment needed
5,5,5,Hyatt Centric MG Road Bangalore,0,8000, 1440 ,King Room,1 extra-large double bed,8.2,Very good ,1018,No Rooms left,FREE cancellation • No prepayment needed
6,6,6,Goldfinch Hotel Bangalore,0,3749, 450 ,Superior Room,"3 beds (2 singles, 1 extra-large double)",7.4,Good ,214,Only 1 room left ,FREE cancellation • No prepayment needed
7,7,7,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,0,7650, 1377 ,Deluxe Double or Twin Room, 1 double or 2 singles,8.7,Fabulous ,505,Only 7 rooms left ,FREE cancellation • No prepayment needed
8,8,8,OYO 385 TownHouse Navya International Ramamurthy Nagar,1952,976, 30 ,Standard Double Room,1 extra-large double bed,6.4,Plesant ,31,No Rooms left,Free cancellation
9,9,9,Hotel Coffee Bean,0,5130, 616 ,[Sanitised]Superior Double Room,1 double bed,8.4,Very good ,7,No Rooms left,FREE cancellation • No prepayment needed
10,10,10,Radisson Bengaluru City Center,0,7199, 1008 ,Superior Room with City View, 1 double or 2 singles,8.4,Very good ,1063,Only 3 rooms left ,FREE cancellation • No prepayment needed
11,11,11,"Holiday Inn Express Bengaluru Yeshwantpur, an IHG Hotel",0,4299, 516 ,Superior Queen Room - Non-Smoking,1 double bed,7.0,Good ,627,No Rooms left,FREE cancellation • No prepayment needed
12,12,12,Taj MG Road Bengaluru,0,9000, 1620 ,Deluxe Room City View  King Bed,1 extra-large double bed,8.8,Fabulous ,764,No Rooms left,Free cancellation
13,13,13,Olive Indiranagar - By Embassy Group,4071,2850, 342 ,Standard Double Room,1 large double bed,6.8,Plesant ,311,Only 1 room left ,FREE cancellation • No prepayment needed
14,14,14,"Holiday Inn Express Bengaluru Whitefield ITPL, an IHG Hotel",0,3699, 444 ,Superior Double or Twin Room with 15% discount on Food and Beverage, 1 double or 2 singles,7.1,Good ,342,No Rooms left,FREE cancellation • No prepayment needed
15,15,15,OYO 11688 Petuni Boutique Hotel,1384,900, 30 ,Standard Double Room,1 large double bed,4.6,Plesant ,12,Only 1 room left ,Free cancellation
16,16,16,OYO 79571 Hotel Golden Paradise,1600,800, 30 ,Deluxe Double Room,1 large double bed,8.5,Very good ,2,No Rooms left,FREE cancellation • No prepayment needed
17,17,17,Taj West End,0,9750, 1755 ,Standard Double Room,1 extra-large double bed,8.3,Very good ,427,Only 7 rooms left ,
18,18,18,Shangri-La Bengaluru,0,12000, 2160 ,Deluxe King Room,1 extra-large double bed,8.8,Fabulous ,928,No Rooms left,FREE cancellation • No prepayment needed
19,19,19,The Oberoi Bengaluru,0,10500, 1890 ,Deluxe Double or Twin Room,1 large double bed,9.4,Superb ,1495,No Rooms left,Free cancellation
20,20,20,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",0,8800, 1584 ,Superior Twin Room,2 single beds,8.3,Very good ,1888,Only 1 room left ,
21,21,21,Sanctum Suites Domlur Bangalore,0,2800, 336 ,Deluxe Queen Room,1 double bed,7.4,Good ,90,Only 2 rooms left ,FREE cancellation • No prepayment needed
22,22,22,OYO 62331 GN Collection O,2006,1003, 150 ,Standard Double Room,1 large double bed,6.9,Plesant ,19,No Rooms left,Free cancellation
