,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
0,Treebo Trip Hotel Worldtree Prashant Extension,"₹ 4,554","₹ 2,277",+₹ 273 taxes and charges,[Sanitized] Deluxe Room,1 double bed,7.4,Good ,122 reviews,Only 6 rooms left at this price on our site,Free cancellation
1,Hotel Chetan International,"₹ 1,800","₹ 1,440",+₹ 173 taxes and charges,Standard Double Room,1 large double bed,7.7,Good ,274 reviews,,FREE cancellation • No prepayment needed
2,Olive Indiranagar - By Embassy Group,"₹ 2,856","₹ 1,999",+₹ 240 taxes and charges,Budget Double Room,1 large double bed,6.8,Review score ,294 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
3,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",,"₹ 9,500","+₹ 1,710 taxes and charges",Executive Club Room,1 large double bed,8.2,Very good ,"1,312 reviews",Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
4,"Holiday Inn Bengaluru Racecourse, an IHG Hotel",,"₹ 5,250",+₹ 630 taxes and charges,Superior Queen Room - Non-Smoking,1 double bed,7.3,Good ,716 reviews,,Free cancellation
5,BNGV Mystic Premier Hotel,,"₹ 5,100",+₹ 612 taxes and charges,Deluxe King Room,1 single bed,6.2,Review score ,146 reviews,,FREE cancellation • No prepayment needed
6,Conrad Bengaluru,,"₹ 9,900","+₹ 1,782 taxes and charges",Deluxe King Room - Lake View,1 extra-large double bed,8.4,Very good ,"1,076 reviews",,
7,"Howard Johnson By Wyndham, Hebbal, Bengaluru",,"₹ 5,700",+₹ 969 taxes and charges,Deluxe Twin Room,1 double bed,7.3,Good ,466 reviews,,FREE cancellation • No prepayment needed
8,Melange Astris,,"₹ 5,000",+₹ 600 taxes and charges,Executive Room,Entire studio • 1 bathroom • 28m²Beds: 1 double or 2 singles,7.8,Good ,322 reviews,Only 1 left at this price on our site,
9,Hyatt Centric MG Road Bangalore,,"₹ 9,500","+₹ 1,710 taxes and charges",King Room,1 extra-large double bed,8.2,Very good ,"1,014 reviews",,FREE cancellation • No prepayment needed
10,Treebo Trend JJ Residency,"₹ 2,945","₹ 1,472",+₹ 177 taxes and charges,Standard Double Room,1 extra-large double bed,10,Exceptional ,5 reviews,,Free cancellation
11,Lilac Hotel 3rd Block,,"₹ 3,300",+₹ 396 taxes and charges,Executive Room,Private apartment • 1 bedroom • 1 bathroom • 25m²1 large double bed,8.8,Fabulous ,121 reviews,Only 1 left at this price on our site,Free cancellation
12,Grand Mercure Bangalore - An Accor Brand,,"₹ 7,520","+₹ 1,354 taxes and charges",Studio Suite with Kitchenette with 20% discount on Food and Soft Beverages and 20% on SPA,Private studio • 1 bathroom • 40m²1 large double bed,8.2,Very good ,382 reviews,Only 7 left at this price on our site,
13,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",,"₹ 9,100","+₹ 1,638 taxes and charges",Deluxe Double Room,1 large double bed,8.3,Very good ,"1,883 reviews",,FREE cancellation • No prepayment needed
14,Shangri-La Bengaluru,,"₹ 12,500","+₹ 2,250 taxes and charges",Deluxe King Room,1 extra-large double bed,8.8,Fabulous ,923 reviews,,FREE cancellation • No prepayment needed
15,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,,"₹ 7,650","+₹ 1,377 taxes and charges",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.7,Fabulous ,499 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
